Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Ethnicity
http://www.wikidata.org/entity/Q43402735,Samuel Elves,Irvine,-4.661111111,55.61944444,Male,English people
http://www.wikidata.org/entity/Q43402739,Dod nine siacke Moir,Allan,-3.994608,57.768142,Male,Gaels
http://www.wikidata.org/entity/Q43389906,Catheren Carutheris,Edinburgh,-3.198888888,55.95,Female,Gaels
http://www.wikidata.org/entity/Q43402743,Issobell McClartich,Milton,-5.146072,55.926074,Female,Gaels
http://www.wikidata.org/entity/Q43402740,NikNeveing,Monzie,-3.818132,56.40458,Female,Gaels
http://www.wikidata.org/entity/Q43402737,John McIlvorie,Crieff,-3.843055555,56.37361111,Male,Gaels
http://www.wikidata.org/entity/Q43402741,Elspett Moiness,Aberdeen,-2.1,57.15,Female,Gaels
http://www.wikidata.org/entity/Q43402738,Neane Vcclerick,Kinross,-3.42,56.2,Female,Gaels
http://www.wikidata.org/entity/Q43389929,John Damiet,Edinburgh,-3.198888888,55.95,Male,Italians
http://www.wikidata.org/entity/Q43389925,Marjory Craig,Pollok,-4.3524,55.8247,Female,Irish people
http://www.wikidata.org/entity/Q43389879,Katherine Campbell,Edinburgh,-3.198888888,55.95,Female,Gaels
