Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Occupation
http://www.wikidata.org/entity/Q43392923,Elspeth Wilson,Eyemouth,-2.090555555,55.86944444,Female,Domestic Worker
http://www.wikidata.org/entity/Q43396234,Law,Panbride,-2.69869,56.5123,,Domestic Worker
http://www.wikidata.org/entity/Q43395298,Jonet Andirsone,Stirling,-3.9369,56.1166,Female,Domestic Worker
http://www.wikidata.org/entity/Q43395134,Helen Beatie,"Manor, Scottish Borders",-3.2401353,55.629286,Female,Midwife
http://www.wikidata.org/entity/Q43396171,Marion Dobie,Haddington,-2.78332,55.95612,Female,Midwife
http://www.wikidata.org/entity/Q43395286,Margaret Reoch,Lumphanan,-2.68667,57.1281,Female,Vagrant
http://www.wikidata.org/entity/Q43395301,John Stewart,Irvine,-4.661111111,55.61944444,Male,Vagrant
http://www.wikidata.org/entity/Q43392634,Isobel Rutherfurde,Peebles,-3.18,55.65,Female,Vagrant
http://www.wikidata.org/entity/Q43395590,Issobell Monro,Inverness,-4.225833333,57.48388889,Female,Vagrant
http://www.wikidata.org/entity/Q43392696,Margaret Strudgeoun,Lanark,-3.77702,55.6749,Female,Vagrant
http://www.wikidata.org/entity/Q43395591,Mary Burges,Inverness,-4.225833333,57.48388889,Female,Vagrant
http://www.wikidata.org/entity/Q43392655,Alexander Hunter,Haddington,-2.78332,55.95612,Male,Vagrant
http://www.wikidata.org/entity/Q43395894,Marion Hardie,Elgin,-3.315277777,57.64638889,Female,Vagrant
http://www.wikidata.org/entity/Q43395148,Agnes Robesoun,Peebles,-3.18,55.65,Female,Vagrant
http://www.wikidata.org/entity/Q43396155,Margaret Fraser,Aberdeen,-2.1,57.15,Female,Vagrant
