Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Manner of Death,Place of Death
http://www.wikidata.org/entity/Q43390672,Katherine McFerries,Auchnerran,-2.961113,57.11402,Female,Capital Punishment,Aberdeen
http://www.wikidata.org/entity/Q43394068,Agnes Wobster,Ludquharn,-1.944752,57.49675,Female,Capital Punishment,Aberdeen
http://www.wikidata.org/entity/Q43390630,Isobel Cockie,Kintore,-2.34621,57.236,Female,Capital Punishment,Aberdeen
http://www.wikidata.org/entity/Q43395881,Marion Greiff,Ayr,-4.627777777,55.46388889,Female,Capital Punishment,Ayr
http://www.wikidata.org/entity/Q43395165,Margaret Wallace,Holmes,-4.414547,55.597887,Female,Capital Punishment,Ayr
http://www.wikidata.org/entity/Q43394819,Elspeth Cuninghame,Ayr,-4.627777777,55.46388889,Female,Capital Punishment,Ayr
http://www.wikidata.org/entity/Q43392850,Christian Lewinstoun,Leith,-3.17005,55.9801,Female,Capital Punishment,Castle Hill
http://www.wikidata.org/entity/Q43393789,Margaret Lauder,Edinburgh,-3.198888888,55.95,Female,Capital Punishment,Castle Hill
http://www.wikidata.org/entity/Q43395018,Meg Dow,Gilmerton,-3.13083,55.905,Female,Capital Punishment,Castle Hill
http://www.wikidata.org/entity/Q43392868,Christian Saidler,Blackhouse,-3.673657,55.640308,Female,Capital Punishment,Castle Hill
http://www.wikidata.org/entity/Q43393293,Thomas Greave,Fife,-3.2,56.25,Male,Capital Punishment,Castle Hill
http://www.wikidata.org/entity/Q43391065,Jonet Grant,Logie Coldstone,-2.93528,57.1267,Female,Capital Punishment,Castle Hill
http://www.wikidata.org/entity/Q43391022,Janet Clark,Blelack,-2.924092,57.12002,Female,Capital Punishment,Castle Hill
http://www.wikidata.org/entity/Q43394180,Katherine Mitchell,Culross,-3.6293,56.0554,Female,Capital Punishment,Culross
http://www.wikidata.org/entity/Q43394936,Marjory Wilson,Dalkeith,-3.068332,55.893642,Female,Capital Punishment,Dalkeith
http://www.wikidata.org/entity/Q43395514,Jenet Davidson,Dalkeith,-3.068332,55.893642,Female,Capital Punishment,Dalkeith
http://www.wikidata.org/entity/Q43392369,Christian Patersone,Newbattle,-3.0775,55.8817,Female,Capital Punishment,Dalkeith
http://www.wikidata.org/entity/Q43394934,Issobell Fergussone,Newbattle,-3.0775,55.8817,Female,Capital Punishment,Dalkeith
http://www.wikidata.org/entity/Q43390976,Elspet Graham,Dalkeith,-3.068332,55.893642,Female,Capital Punishment,Dalkeith
http://www.wikidata.org/entity/Q43391472,Katharine Clacherty,Newlaw Hill,-3.966666666,54.81666667,Female,Capital Punishment,Dumfries
http://www.wikidata.org/entity/Q43396067,Janet McNaught,Dumfries,-3.616666666,55.06666667,Female,Capital Punishment,Dumfries
http://www.wikidata.org/entity/Q43392436,Janet McGown,"Borgue, Dumfries and Galloway",-4.134,54.812,Female,Capital Punishment,Dumfries
http://www.wikidata.org/entity/Q43395236,Jennat Callen,Dumfries,-3.616666666,55.06666667,Female,Capital Punishment,Dumfries
http://www.wikidata.org/entity/Q43395181,Agnes Somerville,Fala,-2.88333,55.8333,Female,Capital Punishment,Gallow Lea
http://www.wikidata.org/entity/Q43390679,Issobell Richie,Cloak,-2.681777,57.133913,Female,Capital Punishment,Gallows Hill
http://www.wikidata.org/entity/Q43395045,Johne McGill (McGillis),Prestonpans,-2.961,55.9597,Male,Capital Punishment,Haddington
http://www.wikidata.org/entity/Q43393024,Johnne Gordoun,Haddington,-2.78332,55.95612,Male,Capital Punishment,Haddington
http://www.wikidata.org/entity/Q43395326,Meg Dun,Haddington,-2.78332,55.95612,Female,Capital Punishment,Haddington
http://www.wikidata.org/entity/Q43390755,Marion Peebles,Hillswick,-1.5,60.4667,Female,Capital Punishment,Hill of Berry
http://www.wikidata.org/entity/Q43394323,Grissal Thomsone,Kilmany,-3,56.3667,Female,Capital Punishment,Kilmany
http://www.wikidata.org/entity/Q43390725,William Coke,Kirkcaldy,-3.167369444,56.11073056,Male,Capital Punishment,Kirkcaldy
http://www.wikidata.org/entity/Q43390728,Alison Dick,Kirkcaldy,-3.167369444,56.11073056,Female,Capital Punishment,Kirkcaldy
http://www.wikidata.org/entity/Q43391675,Magaret Alexander,Livingston,-3.5157,55.8834,Female,Capital Punishment,Livingston
http://www.wikidata.org/entity/Q43395584,Barbria Parish,Livingston,-3.5157,55.8834,Female,Capital Punishment,Livingston
http://www.wikidata.org/entity/Q43393932,James Lindsay,Formakin,-4.545491,55.902521,Male,Capital Punishment,Paisley
http://www.wikidata.org/entity/Q43392769,Janet Bishop,Penicuik,-3.22,55.826,Female,Capital Punishment,Penicuik
http://www.wikidata.org/entity/Q43392703,Margaret Mathesoun,Prestonpans,-2.961,55.9597,Female,Capital Punishment,"Preston, Scottish Borders"
