Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Occupation,Social Classification,Place of Detainment
http://www.wikidata.org/entity/Q43393845,Robert Shevies,Aberdeen,-2.1,57.15,Male,Blacksmith,Middling,Aberdeen
http://www.wikidata.org/entity/Q43393121,Adam Robertson,Eyemouth,-2.090555555,55.86944444,Male,Maltman,Middling,Eyemouth
http://www.wikidata.org/entity/Q43395304,William Nicoll,Ayr,-4.627777777,55.46388889,Male,Merchant,Middling,Ayr
http://www.wikidata.org/entity/Q43393930,John Reid,Inchinnan,-4.41667,55.8833,Male,Metalsmith,Middling,Paisley
http://www.wikidata.org/entity/Q43391307,Gideon Penman,Crichton,-2.98249,55.8471,Male,Minister,Middling,Edinburgh
http://www.wikidata.org/entity/Q43392904,George Sempill,Paisley,-4.433333333,55.85,Male,Minister,Middling,Glasgow
http://www.wikidata.org/entity/Q43393778,Thomas Shanks,Peebles,-3.18,55.65,Male,Weaver,Middling,Peebles
http://www.wikidata.org/entity/Q43395094,John Scott,Leith,-3.17005,55.9801,Male,Laborer,Pauper,Edinburgh
http://www.wikidata.org/entity/Q43392580,Margaret Muirhead,Dalkeith,-3.068332,55.893642,Female,Vagrant,Vagrant,Dalkeith
http://www.wikidata.org/entity/Q43395272,Jonet Drysdaill,Crichton,-2.98249,55.8471,Female,Domestic Worker,Working Poor,Crichton
http://www.wikidata.org/entity/Q43394546,Jean Brown,"Penninghame, Wigtownshire",-4.4853,54.9579,Female,Domestic Worker,Working Poor,Edinburgh
http://www.wikidata.org/entity/Q43395272,Jonet Drysdaill,Crichton,-2.98249,55.8471,Female,Domestic Worker,Working Poor,Edinburgh
http://www.wikidata.org/entity/Q43393900,Marjorie Anderson,Prestonpans,-2.961,55.9597,Female,Domestic Worker,Working Poor,Prestonpans
http://www.wikidata.org/entity/Q43393843,Hendry Wilson,"Fogo, Scottish Borders",-2.363632,55.734692,Male,Loadman,Working Poor,Duns
http://www.wikidata.org/entity/Q43390782,Beatrix Watsone,Corstorphine,-3.28544,55.9429,Female,Weaver,Working Poor,Corstorphine
http://www.wikidata.org/entity/Q43392856,John Smith,Duns,-2.3426,55.7784,Male,Courier,,Edinburgh
