Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Occupation,Social Classification,Manner of Death,Place of Death,Place of Detainment
http://www.wikidata.org/entity/Q43390472,Katherine Campbell,Erskine,-4.46234,55.9005,Female,Domestic Worker,Middling,Capital Punishment,Paisley,
http://www.wikidata.org/entity/Q43390472,Katherine Campbell,Bargarran,-4.464613,55.908428,Female,Domestic Worker,Middling,Capital Punishment,Paisley,
http://www.wikidata.org/entity/Q43402734,Jon Neill,Tweedmouth,-2.011416666,55.76497222,Male,Farmer,Middling,Capital Punishment,Castle Hill,Edinburgh
http://www.wikidata.org/entity/Q43393510,Michaell Erskine,Newbattle,-3.0775,55.8817,Male,Miller,Middling,Capital Punishment,,Newbattle
http://www.wikidata.org/entity/Q43394059,Helene Frasser,Aikenshill,-2.054092,57.288207,Female,Domestic Worker,Pauper,Capital Punishment,Aberdeen,
http://www.wikidata.org/entity/Q43390357,Alexander Hammiltoun,Haddington,-2.78332,55.95612,Male,Vagrant,Pauper,Capital Punishment,Castle Hill,Duns
http://www.wikidata.org/entity/Q43390357,Alexander Hammiltoun,Haddington,-2.78332,55.95612,Male,Vagrant,Pauper,Capital Punishment,Castle Hill,Edinburgh
http://www.wikidata.org/entity/Q43392905,John Philip,Aberdeen,-2.1,57.15,Male,Vagrant,Pauper,Capital Punishment,,
http://www.wikidata.org/entity/Q43394058,Christian Reid,Aberdeen,-2.1,57.15,Female,Vagrant,Vagrant,Capital Punishment,Aberdeen,
http://www.wikidata.org/entity/Q43392653,Isobel Gray,Lanark,-3.77702,55.6749,Female,Vagrant,Vagrant,Capital Punishment,,
http://www.wikidata.org/entity/Q43394930,David Johnston,Dalkeith,-3.068332,55.893642,Male,Coal Miner,Working Poor,Capital Punishment,Musselburgh,
http://www.wikidata.org/entity/Q43395178,Isobell Eliot,Peaston,-2.915091,55.878235,Female,Domestic Worker,Working Poor,Capital Punishment,,Edinburgh
http://www.wikidata.org/entity/Q43390384,Alisone Nisbet,Hilton,-2.192435,55.750186,Female,Midwife,Working Poor,Capital Punishment,Castle Hill,Edinburgh
http://www.wikidata.org/entity/Q43391370,Bessie Gourlie,Fala,-2.88333,55.8333,Female,Midwife,Working Poor,Capital Punishment,Gallow Lea,
http://www.wikidata.org/entity/Q43392977,Bartie Patersoune,Newbattle,-3.0775,55.8817,Male,Piece Work,Working Poor,Capital Punishment,Castle Hill,
http://www.wikidata.org/entity/Q43395810,Jonet Barker,Edinburgh,-3.198888888,55.95,Female,Shopkeeper,Working Poor,Capital Punishment,Castle Hill,Edinburgh
http://www.wikidata.org/entity/Q43392917,James Reid,Musselburgh,-3.05,55.93333333,Male,Domestic Worker,,Capital Punishment,Castle Hill,Haddington
http://www.wikidata.org/entity/Q43395234,Agnes (Bigis) Cairnes,Kirkcudbright,-4.051666666,54.83527778,Female,Domestic Worker,,Capital Punishment,Dumfries,Kirkcudbright
http://www.wikidata.org/entity/Q43393761,Johnne Brughe,Fossoway,-3.548502,56.170297,Male,Healer,,Capital Punishment,Castle Hill,Edinburgh
http://www.wikidata.org/entity/Q4693114,Agnes Sampson,Nether Keith,-2.875695,55.871933,Female,Midwife,,Capital Punishment,Edinburgh,
