Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Social Classification,Place of Detainment
http://www.wikidata.org/entity/Q43392773,John Stewart,Orkney Islands,-3,59,Male,Laird,Irvine
http://www.wikidata.org/entity/Q43390435,Margaret Dury,Footdee,-2.0711,57.1438,Female,Middling,Aberdeen
http://www.wikidata.org/entity/Q43394076,Jonat Leisk,Fortree,-2.07619,57.445274,Female,Middling,Aberdeen
http://www.wikidata.org/entity/Q43392244,Issobell Spens,Aberdeen,-2.1,57.15,Female,Middling,Aberdeen
http://www.wikidata.org/entity/Q43393484,Margaret Guthrie,Montrose,-2.605833333,56.70805556,Female,Middling,Anstruther
http://www.wikidata.org/entity/Q43391374,Bessie Gibb,Bo'ness,-3.608911111,56.01681111,Female,Middling,Bo'ness
http://www.wikidata.org/entity/Q43392265,Bessie Vikker,Bo'ness,-3.608911111,56.01681111,Female,Middling,Bo'ness
http://www.wikidata.org/entity/Q43393842,William Craw,Bo'ness,-3.608911111,56.01681111,Male,Middling,Bo'ness
http://www.wikidata.org/entity/Q43392378,Jeane Gaylor,Canongate,-3.1793,55.9517,Female,Middling,Canongate
http://www.wikidata.org/entity/Q43390608,Bessie Graham,Dumfries,-3.616666666,55.06666667,Female,Middling,Dumfries
http://www.wikidata.org/entity/Q43390457,Catharin Mactargett,Dunbar,-2.522777777,55.99833333,Female,Middling,Dunbar
http://www.wikidata.org/entity/Q43390127,Janet Beverage,Kirkcaldy,-3.167369444,56.11073056,Female,Middling,Dysart
http://www.wikidata.org/entity/Q43390418,Elizabeth Bathgate,Eyemouth,-2.090555555,55.86944444,Female,Middling,Edinburgh
http://www.wikidata.org/entity/Q43391381,Elizabeth Hutcheson,Bo'ness,-3.608911111,56.01681111,Female,Middling,Edinburgh
http://www.wikidata.org/entity/Q43390080,Jon Hog,Markle,-2.70139,55.988098,Male,Middling,Edinburgh
http://www.wikidata.org/entity/Q43391811,Margaret Nicolsone,Markle,-2.70139,55.988098,Female,Middling,Edinburgh
http://www.wikidata.org/entity/Q43393243,Margret Wylie,Montrose,-2.605833333,56.70805556,Female,Middling,Edinburgh
http://www.wikidata.org/entity/Q43391443,Mary Morisone,Greenock,-4.766666666,55.95,Female,Middling,Edinburgh
http://www.wikidata.org/entity/Q43391678,Margaret Garvie,Falkland,-3.2,56.25,Female,Middling,Falkland
http://www.wikidata.org/entity/Q43393482,Elizabeth Guthrie,Montrose,-2.605833333,56.70805556,Female,Middling,Forfar
http://www.wikidata.org/entity/Q43393484,Margaret Guthrie,Montrose,-2.605833333,56.70805556,Female,Middling,Forfar
http://www.wikidata.org/entity/Q43393897,Marion Phin,Haddington,-2.78332,55.95612,Female,Middling,Haddington
http://www.wikidata.org/entity/Q43390236,Issobell Murray,"Penston Farm, Penston",-2.8918846,55.940283,Female,Middling,Haddington
http://www.wikidata.org/entity/Q43390929,Marioun Lowrie,Tranent,-2.95417,55.9447,Female,Middling,Humbie
http://www.wikidata.org/entity/Q43390861,Marjorie (Marion) Durie,Inverkeithing,-3.383333333,56.03333333,Female,Middling,Inverkeithing
http://www.wikidata.org/entity/Q43395344,Margaret Kynnell,Inverkeithing,-3.383333333,56.03333333,Female,Middling,Inverkeithing
http://www.wikidata.org/entity/Q43391572,Margaret Barclay,Irvine,-4.661111111,55.61944444,Female,Middling,Irvine
http://www.wikidata.org/entity/Q43391693,Isobel Boill,Jedburgh,-2.546,55.477,Female,Middling,Jedburgh
http://www.wikidata.org/entity/Q43393853,Mareon Caskie,Lanark,-3.77702,55.6749,Female,Middling,Lanark
http://www.wikidata.org/entity/Q43392476,Elizabeth Burnett,Lauder,-2.74855,55.7194,Female,Middling,Lauder
http://www.wikidata.org/entity/Q43391499,Jean Rutherd,Lauder,-2.74855,55.7194,Female,Middling,Lauder
http://www.wikidata.org/entity/Q43389974,Alesoun Dempstar,Leith,-3.17005,55.9801,Female,Middling,Leith
http://www.wikidata.org/entity/Q43393482,Elizabeth Guthrie,Montrose,-2.605833333,56.70805556,Female,Middling,Montrose
http://www.wikidata.org/entity/Q43393484,Margaret Guthrie,Montrose,-2.605833333,56.70805556,Female,Middling,Montrose
http://www.wikidata.org/entity/Q43393094,William Hog,Newton,-3.411406,55.551326,Male,Middling,Musselburgh
http://www.wikidata.org/entity/Q43391322,Janet Hardie,Fisherrow,-3.0583,55.9463,Female,Middling,Musselburgh
http://www.wikidata.org/entity/Q43390208,Margaret Young,Dysart,-3.12538,56.12557,Female,Middling,North Queensferry
http://www.wikidata.org/entity/Q43393817,Jonet Patoun,Eastwood,-4.299826,55.796348,Female,Middling,Paisley
http://www.wikidata.org/entity/Q43392125,Annabell Stewart,Pollokshaws,-4.29,55.8218,Female,Middling,Paisley
http://www.wikidata.org/entity/Q43391510,Nicolas Lauson,Pittenweem,-2.728611111,56.21305556,Female,Middling,Pittenweem
http://www.wikidata.org/entity/Q43391514,Betty (Beatrix) Laing,Pittenweem,-2.728611111,56.21305556,Female,Middling,Pittenweem
http://www.wikidata.org/entity/Q43391413,John Glass,Spital,-4.409804,57.524663,Male,Middling,Ross and Cromarty
http://www.wikidata.org/entity/Q43390950,Jonet Thomson,Tranent,-2.95417,55.9447,Female,Middling,Tranent
http://www.wikidata.org/entity/Q43392739,"Francis Stewart, Earl of Bothwell",Bothwell,-4.06622,55.8023,Male,Nobility,Edinburgh
http://www.wikidata.org/entity/Q43393711,Margaret Hendirsoun,Inverkeithing,-3.383333333,56.03333333,Female,Nobility,Edinburgh
http://www.wikidata.org/entity/Q43392333,Katherene Ross,Ross and Cromarty,-5,57.66666667,Female,Nobility,Edinburgh
http://www.wikidata.org/entity/Q43394991,James Welch,Sammuelston,-2.825545,55.92742,Male,Pauper,Edinburgh
http://www.wikidata.org/entity/Q43394991,James Welch,Sammuelston,-2.825545,55.92742,Male,Pauper,Haddington
http://www.wikidata.org/entity/Q43395562,Elspit Scot,Linlithgow,-3.610555555,55.97527778,Female,Pauper,Linlithgow
http://www.wikidata.org/entity/Q43390016,Marion Hardie,Eyemouth,-2.090555555,55.86944444,Female,Upper Class,Eyemouth
http://www.wikidata.org/entity/Q43392194,Bessie Hepburne,Haddington,-2.78332,55.95612,Female,Upper Class,Haddington
http://www.wikidata.org/entity/Q43392242,Margaret Abernethy,Aberdeen,-2.1,57.15,Female,Working Poor,Aberdeen
http://www.wikidata.org/entity/Q43392269,Margaret Pringle,Bo'ness,-3.608911111,56.01681111,Female,Working Poor,Bo'ness
http://www.wikidata.org/entity/Q43391943,Margaret Hammilton,Bo'ness,-3.608911111,56.01681111,Female,Working Poor,Bo'ness
http://www.wikidata.org/entity/Q43391988,Jonet Douglas,Tranent,-2.95417,55.9447,Female,Working Poor,Canongate
http://www.wikidata.org/entity/Q43390834,Bessie Scott,Kirkcaldy,-3.167369444,56.11073056,Female,Working Poor,Corstorphine
http://www.wikidata.org/entity/Q43390453,Helene Clerk,North Leith,-3.1809,55.9758,Female,Working Poor,Edinburgh
http://www.wikidata.org/entity/Q43391590,Janet Robertsone,Aberdour,-3.3021,56.0528,Female,Working Poor,St Colme House
